Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,20,2,0,White,1,A list of the Side effects.,,Not sure,Not sure,Only slightly confident,announcements on where to get it.,little information and communication about it.
Student,19,2,0,White,1,historical mistreatment of the Black population in America by the medical field.,,Completely trust,Very safe,Somewhat confident,Accessibility to the vaccine in my hometown,If it were only available to me through App State and I had to travel to Boone to get it
Student,18,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Student,,2,1,White,,,0,,,,,
Staff,18,2,1,White,1,"Due to the fact that long term effects of the vaccine are still unknown since the vaccine has not been in the testing stage or in use for more than 8 months, I'm a little concerned that there may be underlying side effects",,Mostly trust,Mostly safe,Somewhat confident,More research on the long term effects,Pressure from family and strong medical anxiety
Student,19,2,0,White,1,Bad Side effects,,Mostly trust,Mostly safe,Very confident,Multiple times/days of availability ,Limited times available 
Student,19,2,0,"Hispanic or Latinx,White",2,,3,Mostly trust,Mostly safe,Somewhat confident,if i were given information about the vaccine,my schedule
Student,21,2,0,"Hispanic or Latinx,White",,,3,,,,,
Student,19,2,1,"Hispanic or Latinx,White",,,0,,,,,
Student,20,2,1,White,1,Mostly just the realization that itâ€™s such a new vaccine in the companies behind it that sponsor it,,Somewhat trust,Mostly safe,Somewhat confident,Having access to it somewhere nearby either on campus or just a few minutes of a drive,"Distance, Setting up appointments for multiple doses"
Student,19,1,0,White,1,"latrogenic reactions, different drugs giving side effects, many pregnant women have had miscarrages",,Do not trust at all,Not safe at all,Not at all confident,i will not get the vaccine,i will not get the vaccine
Student,20,1,0,White,,,3,,,,,
Student,18,1,1,White,,,0,,,,,
Student,,1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,A large window of time in which to reserve a time slot and a nearby vaccination center.,Lack of flexible scheduling times or distance to vaccination center.
Staff,22,1,0,White,,,3,,,,,
Student,20,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,,
Student,,1,0,Hispanic or Latinx,1,side effects,,Completely trust,Very safe,Very confident,Getting A paper with information from the cdc and side effects with advice for what to do to deal with them,Side affects affecting my school work. would want a break for at least those 3 days of side effects
Student,26,1,0,White,1,I don't have any hesitations I just don't believe in the vaccine,,Do not trust at all,Not safe at all,Not at all confident,There is no way In hell I will ever take that vaccine,Nothing cause I'm not taking it
Student,,2,0,White,1,Death due to vaccine,,Mostly trust,Mostly safe,Very confident,If my roommates were to get vaccinated with me,Nothing
Student,45,2,0,White,1,"This test has not been tested on humans long term.  It is too new for me to believe in it.  Once I see the effects in a year or so, I may consider",,Do not trust at all,Not sure,Only slightly confident,I am not interested at this time. ,Not enough time to make an informed decision. I'm not against it. I just want to know if there are any long terms effects of it.
Student,44,1,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,,
Staff,,1,0,White,,,3,,,,,
Staff,20,1,1,White,2,,0,Somewhat trust,Mostly safe,Somewhat confident,"An email detailing where I need to go, how to schedule the vaccine,etc.","Not much, I'd do just about anything for a vaccine at this point."
Student,38,1,0,White,,,3,,,,,
Staff,22,1,1,White,,,0,,,,,
Student,51,1,1,White,2,,0,Somewhat trust,Mostly safe,Not sure,"For it to be available. I work everyday, dealing with students faculty, staff and the Boone community. ",Other getting the vaccine that do not have direct contact with anyone right now. 
Staff,54,2,0,White,3,,3,Not sure,Not sure,Not sure,,
Staff,20,4,0,White,1,side effects taking people out of work for 4 days,,Mostly trust,Mostly safe,Somewhat confident,lot's of time slots and work willing to give time off,work
Student,35,4,0,White,,,3,,,,,
Staff,,4,1,White,,,0,,,,,
Staff,20,2,1,White,2,,0,Completely trust,Mostly safe,Very confident,More free time,School work and job
Student,,2,0,White,,,3,,,,,
Student,,2,1,White,1,I personally know someone who died from the vaccine and I know that people have had extremely bad reactions and have experienced extreme side effects. ,,Somewhat trust,Mostly safe,Very confident,"If I am going to get the vaccine, I want it to be 94-95% effective. The J&J vaccine honestly isnâ€™t even worth it and I donâ€™t trust it as much as I do Pfizer or moderna.",Knowing that someone I personally know passed away from it and the side effects are real! 
Student,,2,0,White,1,I have heard of the short term side effect. Iâ€™m scared for the vaccine because it came about so fast and we donâ€™t know much about what it can do long term. ,,Somewhat trust,Not sure,Somewhat confident,Learning more information on side effects and having more people around me get it ,Not knowing the long term side effects
Student,54,2,0,White,,,3,,,,,
Staff,55,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,54,2,1,White,,,0,,,,,
Staff,29,2,1,White,,,0,,,,,
Student,31,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,30,2,1,White,1,Yes,,Do not trust at all,Not safe at all,Not at all confident,,
Student,35,2,0,White,,,3,,,,,
Staff,18,1,1,White,1,,0,Do not trust at all,Not sure,Not at all confident,,
Student,20,1,0,White,1,Speed of release,,Do not trust at all,Mostly safe,Somewhat confident,On campus clinic,Gas price rise
Student,37,1,0,White,,,3,,,,,
Staff,19,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,,
Student,21,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Email notification ,No communication 
Student,44,1,0,White,,,3,,,,,
Staff,30,1,1,White,,,0,,,,,
Student,21,1,1,White,,,0,,,,,
Student,39,2,1,White,1,not evidence in research studies indicating that it will not impact fertility for those who are trying to conceive or the impact it may have on the fetus during pregnancy ,,Not sure,Not sure,Only slightly confident,,
Staff,21,2,0,White,1,Media portrayals of possible future problems with the vaccine (and other similar arguments),,Completely trust,Very safe,Somewhat confident,"Having a vaccination site on campus, possibly drive-through?","Location that is not central, having vaccination times that do not cater to individual schedules"
Student,48,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,20,1,1,White,2,,0,Mostly trust,Very safe,Very confident,,
Student,47,1,0,White,,,3,,,,,
Staff,,1,1,White,,,0,,,,,
Student,19,1,1,White,,,0,,,,,
Student,,1,1,White,,,0,,,,,
Staff,36,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,"multiple, flexible dates/times available for appointments",limited options for appointments
Staff,54,2,0,White,,,3,,,,,
Staff,26,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,30,2,1,White,,,0,,,,,
Student,45,2,1,White,,,0,,,,,
Staff,75,1,1,White,1,Not enough testing for long term effects,,Do not trust at all,Not sure,Not sure,,my free choice
Staff,,1,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Very safe,Very confident,A flexible schedule,Transportation
Student,55,2,0,White,,,3,,,,,
Staff,55,2,1,White,,,0,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,54,2,1,White,,,0,,,,,
Staff,38,2,1,White,,,0,,,,,
Staff,54,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,19,2,1,White,2,,0,Completely trust,Very safe,Very confident,If it were low-cost or free.,N/A
Student,21,2,0,White,,,3,,,,,
Student,20,1,1,White,1,Undesirable side effects. Unknown long term effects. ,,Mostly trust,Very safe,Only slightly confident,Letting me know. Right now I haven't been informed about vaccine availability at all,Lack of knowledge 
Student,20,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,If it were near by,Nothing 
Student,18,2,0,White,1,effects on fertility,,Somewhat trust,Mostly safe,Somewhat confident,,
Student,20,2,0,White,,,3,,,,,
Student,42,2,1,White,,,0,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,24,2,1,White,,,0,,,,,
Staff,19,2,1,White,,,0,,,,,
Student,68,2,1,White,,,0,,,,,
Staff,,2,1,White,1,Infertility and just overall how fast the process was,,Somewhat trust,Not sure,Not sure,Reassurance ,The vaccine came out to fast
Student,19,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,,
Student,,2,0,White,1,Vaccinations halted in Denmark due to blood clotting,,Somewhat trust,Not sure,Not sure,"I always want more in-depth information. Right now, it feels like an act of faith.",Pervasive global news about adverse reactions or ineffectiveness.
Staff,19,2,0,White,1,It takes years for vaccinations to be 100% safe and these is no specific information as to what the vaccination will be inserting into my body.,,Do not trust at all,Not safe at all,Not at all confident,Absolutely nothing.,Anything.
Student,,2,0,White,,,3,,,,,
Staff,48,2,1,White,,,0,,,,,
Staff,37,2,1,White,1,"side effects, risk of death, risk of long term health effects",,Not sure,Not sure,Somewhat confident,Confidence,
Staff,22,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Have it on campus where i can walk in ,"Only a drive through, i do not have a car"
Student,,2,0,White,,,3,,,,,
Staff,20,2,1,White,3,,0,Mostly trust,Mostly safe,Very confident,Easier accessibility and less wait time ,"difficult accessibility, more wait time, personal conflicts or issues "
Student,,1,0,Hispanic or Latinx,2,,3,Mostly trust,Very safe,Very confident,Location of where to get it ,Nothing would make it difficult I believe 
Student,18,2,0,White,3,,3,Mostly trust,Mostly safe,Only slightly confident,not sure,news about effects of vaccine 
Student,48,2,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Mostly safe,Very confident,On campus sites!,Off campus sites 
Student,19,2,0,White,1,"I have seen and heard of bad reactions to the vaccine, and I am always hesitant of new vaccinations (regardless of if it's the COVID-19 vaccine or not).",,Do not trust at all,Not safe at all,Only slightly confident,"Honestly, can't think of something that would make it easier. Possibly not having people constantly telling us that we need to get vaccinated because that is not their place to tell people or their decision.","I still just don't trust the vaccine. This strain of COVID has only been around for a little over a year, I understand there has been research done on SARS for years, but this is a different strain and I just do not trust the process of making an ""effective and safe"" vaccine this quickly."
Student,,2,0,White,1,,3,Do not trust at all,Not safe at all,Only slightly confident,"Nothing, I am going to do a lot of thinking before I get this vaccine and donâ€™t say, I am not protecting other. It worries me since there was only a year of research on it. ",What makes it difficult in my opinion is that there is only a year of research on these vaccines. And I am very young I am worried about the long term affects 
Student,20,2,0,White,,,3,,,,,
Student,53,2,1,White,,,0,,,,,
Staff,21,2,1,White,2,,0,Completely trust,Very safe,Very confident,Having more appointment slots and availability. ,Having to travel far from campus to get it. 
Student,19,2,0,White,1,Several different things (very different which makes me hesitant to begin with) but infertility,,Do not trust at all,Not sure,Not at all confident,I donâ€™t have any desire to get the vaccine,Transportation 
Student,20,2,0,White,1,It only lasts 3 months ,,Mostly trust,Mostly safe,Somewhat confident,More information ,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Be given on campus,Not enough time slots.
Student,18,2,0,White,2,,3,Somewhat trust,Not sure,Somewhat confident,allowing it closer to home or a set time in the afternoon to get to app and back ,having to be there early in the morning or having to stay in Boone 
Student,27,2,0,White,,,3,,,,,
Student,58,2,1,White,,,0,,,,,
Staff,21,2,1,White,,,0,,,,,
Student,63,2,1,White,,,0,,,,,
